German,Turkish
der Schrank,Dolap
sich schnelden,kesmek
schneien,kar yağıyor
schrecklich,korkunç
schriftlich,yazılı
schwach,zayıf
schwanger,hamile
das Schwein,Domuz
das Schwimmbad,Havuz
der See,Göl
die Seife,Sabun
die Seite,Yan-Taraf
die Sendung,Program
sich setzen,oturtmak
sitzen,oturmak
sofort,derhal
soger,hatta
spannend,heyecanlı
sparen,biriktirmek
spazieren gehen,gezmek
der Spaziergang,(Yaya)Gezinti
die Sprache,Dil
die Stelle,Konum-Yer
speichern,yığmak
stattfinden,olmak-gerçekleşmek
stehen,durmak
sterben,ölmek
der Stiefel,Çizme
der Stift,Kalem-Çivi
das Stipendium,Burs
das Stockwerk,Kat
der Strand,Sahil
die Strassenbahn,Tramvay
stören,rahatsız etmek
sich streiten,kavga etmek
streng,sert-katı
das Stück,Parça-Kısım
das Studium,İnceleme-Araştırma
suchen,aramak
die Suppe,Çorba
die Süssigkeiten,tatlılar
die Taldette,Hap
surfen,sörf yapmak-internette gezmek
die Tafel,Yazı Tahtası
die Tasche,Çanta
das Taschengeld,Harçlık
tanzen,dans etmek
die Tasse,Fincan
der Teller,Tabak
der Termin,Randevu
austauschen,değiş tokuş
teilen,ayırmak-bölmek
teilnehmen,katılmak
das Tier,Hayvan
der Tipp,Tavsiye
toll,kaçık-çılgın
der Topf,Çanak-Çömlek
tot,ölü
der Traum,Düş
tragen,taşımak
traumen,rüya görmek
traurig,üzgün
trocken,kuru
typisch,tipik
sich treffen,karşılaşmak
üben,alıştırma yapmak
die Übersetzung,Çeviri
der Umzug,Alay
überweisen,havale etmek
umsteigen,aktarma yapmak
umziehen,taşınmak
sich umziehen,üstünü değiştirmek
unbedingt,kayıtsız şartsız
sich unterhalten,sohbet etmek

